indx,Company,TypeName,Inches,touchscreen,retinadisplay,resolution_width,cpu_speed,Ram,ssd,Price
35,HP,Notebook,15.6,0,0,1920,2.5,8,256,31914
36,Acer,Notebook,15.6,0,0,1920,1.6,4,256,36337
37,Asus,Gaming,15.6,0,0,1920,2.8,16,128,77203
38,Dell,Ultrabook,13.3,0,0,1920,1.8,8,256,87859
39,Dell,Notebook,17.3,0,0,1920,1.8,8,128,57809
40,Dell,2 in 1 Convertible,17.3,1,0,1920,1.6,12,0,53227
41,Apple,Ultrabook,13.3,0,1,2560,2,8,256,75604
42,Vero,Notebook,14,0,0,1920,1.1,4,0,13853
43,Asus,Gaming,17.3,0,0,1920,3,8,256,69211
44,Xiaomi,Ultrabook,13.3,0,0,1920,2.5,8,256,53275
45,Acer,Notebook,15.6,0,0,1920,2.7,8,256,44329
46,Asus,2 in 1 Convertible,13.3,1,0,1920,1.8,8,512,79867
47,Dell,Notebook,15.6,0,0,1366,1.6,4,0,16464
48,Asus,Ultrabook,14,0,0,1920,1.8,8,256,58555
49,Asus,Notebook,14,0,0,1366,1.1,4,0,15238
50,Acer,Notebook,15.6,0,0,1920,2.8,8,0,45075
51,HP,Ultrabook,12.5,1,0,3840,1.2,8,512,107306
52,HP,Notebook,17.3,0,0,1920,1.8,8,0,54239
53,Asus,Notebook,15.6,0,0,1920,1.1,4,0,18328
54,Acer,Notebook,15.6,0,0,1366,2,4,0,23816
55,HP,Gaming,17.3,0,0,1920,2.8,8,128,63456
56,Lenovo,Notebook,15.6,0,0,1920,2,4,128,21498
57,Lenovo,Notebook,15.6,0,0,1920,1.8,8,256,46886
58,Asus,Gaming,15.6,0,0,1920,3,8,0,37243
59,Asus,Gaming,15.6,0,0,1920,2.8,8,128,88178
60,Apple,Ultrabook,13.3,0,1,2560,2.9,8,512,104370
61,Acer,Notebook,15.6,0,0,1920,1.8,2,0,36710
62,Lenovo,Notebook,14,0,0,1920,2.5,8,256,58555
63,HP,Notebook,13.3,0,0,1920,1.8,16,512,63776
64,Dell,Gaming,15.6,0,0,1920,2.8,16,512,66561
65,Asus,Gaming,17.3,0,0,1920,3,16,256,82531
66,Dell,Gaming,15.6,0,0,1920,2.5,8,256,63670
67,Lenovo,Notebook,14,0,0,1920,2.7,8,256,31915
68,Asus,Ultrabook,14,0,0,1920,2.7,8,256,55891
69,Dell,Gaming,15.6,0,0,1920,2.8,8,0,47899
70,HP,Notebook,15.6,0,0,1920,2,4,0,18381
71,Apple,Ultrabook,13.3,0,0,1440,1.8,8,0,47896
72,Dell,Notebook,15.6,0,0,1920,1.8,8,256,39165
73,MSI,Gaming,17.3,0,0,1920,2.8,16,256,100699
74,Acer,2 in 1 Convertible,13.3,1,0,1920,1.6,8,256,45128
75,HP,Notebook,15.6,0,0,1920,2.5,8,256,30636
76,Lenovo,Notebook,15.6,0,0,1366,2.5,4,128,26533
77,Apple,Ultrabook,15.4,0,1,2880,2.7,16,512,135195
78,Lenovo,2 in 1 Convertible,14,1,0,2560,2.6,16,512,133147
79,Apple,Ultrabook,13.3,0,1,2560,3.1,8,256,96096
80,Asus,Ultrabook,13.3,1,0,1920,2.7,16,512,93181
81,Dell,Notebook,15.6,0,0,1920,2.7,8,0,31963
82,Lenovo,Ultrabook,14,0,0,2560,2.7,8,512,121585
83,Acer,Notebook,15.6,0,0,1366,1.1,4,0,18541
84,Dell,Notebook,15.6,0,0,1920,2,4,256,25841
85,Acer,Notebook,15.6,0,0,1366,3,4,0,21312
86,Asus,Notebook,15.6,0,0,1920,2.4,6,256,30743
87,Toshiba,Notebook,15.6,0,0,1366,2.5,8,0,43263
88,Apple,Ultrabook,15.4,0,1,2880,2.8,16,256,130002
89,HP,Ultrabook,14,0,0,1920,2.7,4,256,57649
90,Lenovo,Notebook,13.3,0,0,1920,2.4,4,128,29251
91,Apple,Ultrabook,15.4,0,1,2880,2.2,16,0,114018
92,Dell,Workstation,15.6,0,0,1920,2.6,8,0,72940
93,HP,Gaming,15.6,0,0,1920,2.8,12,128,66547
94,HP,Notebook,15.6,0,0,1920,1.6,6,256,32980
95,Dell,Notebook,15.6,0,0,1366,2.7,12,0,37992
96,Apple,Ultrabook,13.3,0,0,1440,1.8,8,0,61736
97,Dell,Workstation,15.6,0,0,1920,2.7,8,256,113753
98,Lenovo,2 in 1 Convertible,14,1,0,1920,2.4,4,256,33513
99,Dell,Notebook,17.3,0,0,1920,1.8,8,128,58555
100,Asus,Ultrabook,14,0,0,1920,1.8,16,512,79654
101,MSI,Gaming,15.6,0,0,1920,2.8,16,256,95851
102,Lenovo,2 in 1 Convertible,14,1,0,2560,2.7,16,512,133680
103,Dell,Notebook,15.6,0,0,1920,2,4,256,26581
104,Acer,Ultrabook,14,0,0,1920,1.6,8,256,41026
105,HP,Notebook,15.6,0,0,1920,2.7,8,256,38308
106,Acer,Notebook,15.6,0,0,1920,1.8,8,0,39694
107,Asus,2 in 1 Convertible,13.3,1,0,1920,1.6,8,256,70063
108,Dell,Notebook,15.6,0,0,1920,2.5,4,256,34046
109,Apple,Ultrabook,12,0,1,2304,1.2,8,256,67261
110,Lenovo,Notebook,17.3,0,0,1600,2,4,0,26054
111,HP,Notebook,15.6,0,0,1366,2.5,4,0,20987
112,Acer,Notebook,15.6,0,0,1366,1.1,4,0,19368
113,Lenovo,Notebook,17.3,0,0,1920,1.8,8,0,45235
114,Asus,Notebook,14,0,0,1920,1.6,8,256,50136
115,Asus,Gaming,17.3,0,0,1920,2.8,8,0,55358
116,Dell,2 in 1 Convertible,15.6,1,0,1920,1.8,8,256,55891
117,Lenovo,Notebook,17.3,0,0,1600,1.6,8,256,37189
118,Asus,Gaming,17.3,0,0,1920,2.8,16,256,84768
119,Apple,Ultrabook,13.3,0,1,2560,2.3,8,256,80908
120,Dell,2 in 1 Convertible,13.3,1,0,1920,1.8,8,0,44702
121,Asus,Gaming,17.3,0,0,1920,2.8,16,256,95851
122,Toshiba,Notebook,15.6,0,0,1366,2.2,4,0,23816
123,Dell,Notebook,15.6,1,0,1920,2.7,16,0,45768
124,Dell,Gaming,15.6,0,0,1920,2.8,8,128,56503
125,Asus,Notebook,17.3,0,0,1366,1.1,4,0,24828
126,HP,Notebook,15.6,0,0,1920,1.5,4,0,18595
127,HP,Notebook,17.3,0,0,1920,1.6,8,0,48698
128,Dell,Notebook,15.6,0,0,1920,2.7,8,256,39694
129,HP,Notebook,15.6,0,0,1920,2.5,8,256,36763
130,Lenovo,Notebook,17.3,0,0,1600,2.7,6,128,45768
131,Dell,Notebook,15.6,0,0,1920,1.6,8,0,34472
132,Asus,Ultrabook,15.6,0,0,1920,2.8,16,512,105654
133,Asus,Notebook,15.6,0,0,1920,2.5,8,256,40972
134,Acer,Notebook,17.3,0,0,1920,1.6,8,256,45501
135,HP,Notebook,15.6,0,0,1366,2,4,0,23373
136,Acer,Notebook,15.6,0,0,1366,1.6,12,0,36976
137,Acer,Notebook,15.6,0,0,1920,1.8,8,256,44808
138,Asus,Notebook,15.6,0,0,1366,3,4,0,21472
139,Dell,Notebook,14,0,0,1920,2.8,8,256,62817
140,MSI,Gaming,17.3,0,0,1920,2.8,8,256,71875
141,HP,Notebook,14,0,0,1366,1.6,4,32,12201
142,HP,Ultrabook,13.3,0,0,1920,2.7,8,256,59620
143,Razer,Gaming,17.3,1,0,3840,2.9,32,1024,324955
144,HP,Notebook,13.3,0,0,1920,1.6,4,0,40173
145,Dell,Notebook,15.6,0,0,1920,2,4,0,22804
146,Acer,Notebook,17.3,0,0,1920,1.6,4,256,42890
147,Asus,Notebook,15.6,0,0,1366,3,4,0,24988
148,Acer,Notebook,15.6,0,0,1366,2.5,4,0,23539
149,Microsoft,Ultrabook,13.5,1,0,2256,2.5,8,256,71395
150,Lenovo,2 in 1 Convertible,13.9,1,0,1920,1.8,8,512,98515
151,Apple,Ultrabook,15.4,0,1,2880,2.9,16,512,152274
152,Lenovo,Notebook,15.6,0,0,1920,2.5,4,0,29251
153,Dell,Notebook,15.6,0,0,1920,2.7,8,256,41498
154,HP,Notebook,13.3,0,0,1920,1.6,8,512,51096
155,Lenovo,Notebook,15.6,0,0,1920,2.4,8,0,26587
156,Dell,Notebook,15.6,0,0,1920,1.6,8,256,38788
157,HP,Notebook,14,0,0,1920,2.5,6,256,35112
158,Asus,Notebook,17.3,0,0,1920,2.5,8,256,47472
159,HP,Gaming,17.3,0,0,1920,2.8,16,256,73473
160,Lenovo,Gaming,15.6,0,0,1920,2.8,16,256,57489
161,HP,Ultrabook,15.6,0,0,1920,3,4,256,26587
162,Asus,Gaming,17.3,0,0,1920,2.8,12,0,50563
163,Lenovo,Gaming,15.6,0,0,1920,2.5,8,256,44169
164,Microsoft,Ultrabook,13.5,1,0,2256,2.5,4,128,58022
165,Acer,Notebook,17.3,0,0,1920,2.7,4,256,37403
166,Dell,Workstation,15.6,0,0,1920,3,8,0,106187
167,Dell,Ultrabook,13.3,0,0,1920,1.8,64,256,50882
168,HP,Notebook,15.6,0,0,1920,2.7,8,0,67612
169,HP,Notebook,17.3,0,0,1920,1.8,8,256,55678
170,Dell,Gaming,15.6,0,0,3840,2.8,16,512,98302
171,Dell,Notebook,15.6,0,0,1920,1.8,8,256,46354
172,Lenovo,Notebook,15.6,0,0,1920,2.5,6,256,30849
173,Dell,Ultrabook,13.3,0,0,1920,1.6,8,256,50563
174,MSI,Gaming,15.6,0,0,1920,2.5,8,256,54758
175,Huawei,Ultrabook,13,0,0,2160,2.5,8,256,71875
176,Asus,Notebook,15.6,0,0,1366,2.4,4,0,21258
177,MSI,Gaming,17.3,0,0,1920,2.5,8,128,58342
178,HP,Notebook,15.6,0,0,1366,2.5,8,128,23758
179,Dell,Ultrabook,13.3,1,0,1920,1.6,8,128,52161
180,HP,Notebook,15.6,0,0,1366,1.5,4,0,17582
181,Acer,Notebook,14,0,0,1366,2,8,0,20726
182,Lenovo,Notebook,15.6,0,0,1366,2.3,4,128,26267
183,Asus,Gaming,15.6,0,0,1920,2.8,8,0,50563
184,Lenovo,Notebook,15.6,0,0,1920,2,4,0,22106
185,Lenovo,Notebook,15.6,0,0,1920,2.5,8,0,27652
186,Microsoft,Ultrabook,13.5,1,0,2256,2.5,16,512,137942
187,Lenovo,Gaming,15.6,0,0,1920,2.5,8,128,53227
188,Acer,Notebook,15.6,0,0,1920,1.8,8,256,50669
189,Acer,Notebook,15.6,0,0,1920,2.7,8,0,39534
190,HP,Notebook,15.6,0,0,1366,1.5,4,0,13746
191,Dell,Notebook,15.6,0,0,1920,1.8,8,128,45554
192,Dell,2 in 1 Convertible,13.3,1,0,1920,1.6,8,256,43636
193,HP,Notebook,15.6,0,0,1366,2.5,8,128,31382
194,Acer,Notebook,15.6,0,0,1920,2.7,4,0,28238
195,HP,Notebook,17.3,0,0,1920,1.8,16,0,56424
196,Acer,Notebook,15.6,1,0,1920,2.7,12,0,35112
197,Acer,Notebook,15.6,0,0,1366,3,4,256,24029
198,Lenovo,Gaming,15.6,0,0,1920,2.8,16,256,79867
199,HP,Notebook,17.3,0,0,1920,2.5,6,0,37243
200,HP,Notebook,14,0,0,1920,1.6,8,0,43263
201,Lenovo,Notebook,15.6,0,0,1366,2.9,4,0,16464
202,Dell,Notebook,14,0,0,1920,2.5,8,256,45768
203,MSI,Gaming,17.3,0,0,1920,2.8,16,512,133147
204,Lenovo,Gaming,15.6,0,0,1920,2.8,16,512,93187
205,Toshiba,Notebook,15.6,0,0,1366,2.4,4,0,26054
206,Asus,Ultrabook,14,0,0,1920,2.7,8,256,63563
207,Lenovo,2 in 1 Convertible,15.6,1,0,1920,2.8,8,512,90523
208,HP,Notebook,17.3,0,0,1920,1.6,8,256,49177
209,MSI,Gaming,15.6,0,0,1920,2.8,16,256,69211
210,Dell,Notebook,15.6,0,0,1366,2.4,8,0,24456
211,Lenovo,Notebook,14,0,0,1920,2.7,8,256,78854
212,Lenovo,Notebook,14,0,0,1920,2.7,8,512,42571
213,Dell,Workstation,15.6,0,0,3840,3,16,256,162770
214,Dell,Notebook,15.6,0,0,1920,2.8,8,256,97449
215,HP,Ultrabook,15.6,0,0,1920,1.8,8,256,35112
216,Asus,2 in 1 Convertible,11.6,1,0,1366,1.1,4,0,19980
217,Asus,Notebook,17.3,0,0,1920,1.8,8,128,61006
218,Asus,Ultrabook,15.6,0,0,1920,1.8,16,256,67239
219,Lenovo,Notebook,15.6,0,0,1920,2.9,8,256,111355
220,Dell,Notebook,15.6,0,0,1366,2,4,0,22305
221,Lenovo,Gaming,15.6,0,0,1920,2.8,16,512,74485
222,Apple,Ultrabook,13.3,0,0,1440,1.6,8,0,58555
223,Asus,Notebook,17.3,0,0,1920,2.7,8,128,47366
224,Asus,Notebook,14,0,0,1366,1.5,4,64,14811
225,Asus,Notebook,15.6,0,0,1366,1.1,4,0,16197
226,Dell,Notebook,17.3,0,0,1920,1.8,8,128,60846
227,Dell,Ultrabook,13.3,1,0,3200,2.4,8,256,73473
228,Dell,Notebook,15.6,0,0,1920,1.6,8,256,42624
229,Dell,Gaming,15.6,0,0,1920,2.5,8,256,46833
230,Lenovo,Notebook,15.6,0,0,1920,1.6,8,256,39374
231,Acer,Notebook,15.6,0,0,1366,2,4,0,24988
232,Lenovo,2 in 1 Convertible,13.3,1,0,1920,2.5,8,256,74539
233,Dell,Notebook,15.6,1,0,1366,2.4,6,0,23390
234,Dell,Workstation,15.6,0,0,1920,2.7,16,256,105228
235,Lenovo,Gaming,15.6,0,0,1920,2.8,8,0,69211
236,Dell,Ultrabook,15.6,0,0,1920,1.9,8,256,69157
237,Lenovo,Notebook,15.6,0,0,1920,1.8,8,256,65511
238,HP,Workstation,15.6,0,0,1920,2.9,8,512,81732
239,Acer,Notebook,15.6,0,0,1366,2,4,128,23923
240,HP,Notebook,17.3,0,0,1920,1.6,8,0,47739
241,Dell,Notebook,15.6,0,0,1920,1.6,8,0,40440
242,Lenovo,2 in 1 Convertible,13.9,1,0,1920,2.7,8,256,57489
243,Lenovo,Notebook,14,0,0,1920,2.5,8,256,71662
244,HP,Notebook,14,0,0,1366,1.6,4,0,38468
245,Acer,Notebook,15.6,0,0,1920,2.8,8,256,52161
246,Lenovo,Notebook,15.6,0,0,1920,2.7,8,256,58448
247,Dell,Ultrabook,15.6,0,0,1920,1.6,8,0,35325
248,Dell,Ultrabook,13.3,0,0,1920,1.6,8,256,86793
249,Lenovo,Notebook,14,0,0,1920,2.5,8,256,49977
250,Acer,2 in 1 Convertible,13.3,1,0,1920,2.3,8,256,36710
251,Dell,Notebook,17.3,0,0,1920,1.8,16,256,74379
252,Dell,Notebook,15.6,0,0,1920,1.8,8,128,52161
253,HP,Gaming,17.3,0,0,1920,2.8,12,0,90523
254,Chuwi,Notebook,15.6,0,0,1920,1.4,4,0,13053
255,HP,Notebook,15.6,0,0,1920,2.7,8,256,69477
256,Dell,Notebook,15.6,0,0,1920,1.8,8,128,52481
257,HP,Notebook,14,0,0,1920,1.8,8,512,57756
258,Dell,Notebook,15.6,0,0,1920,2.7,16,256,47899
259,Dell,Workstation,17.3,0,0,1920,2.9,16,256,153705
260,MSI,Gaming,18.4,0,0,1920,2.9,32,512,149131
261,Dell,2 in 1 Convertible,11.6,1,0,1366,1.6,4,0,25521
262,HP,Notebook,17.3,0,0,1920,1.6,8,256,49444
263,Lenovo,Ultrabook,14,0,0,2560,2.6,12,256,98994
264,Asus,Notebook,14,0,0,1366,1.5,2,0,10603
265,Dell,Ultrabook,13.3,1,0,3840,1.8,8,256,103843
266,HP,2 in 1 Convertible,13.3,1,0,3840,1.8,8,512,106507
267,Acer,Notebook,15.6,0,0,1366,2,4,0,20779
268,HP,Notebook,15.6,1,0,1366,2.5,8,0,29784
269,Asus,Ultrabook,15.6,0,0,1920,2.5,8,256,52055
270,HP,Notebook,15.6,0,0,1920,2.5,8,0,61485
271,Asus,Notebook,15.6,0,0,1920,2.5,4,128,30636
272,MSI,Gaming,17.3,0,0,1920,2.8,8,128,75072
273,Lenovo,Notebook,15.6,0,0,1920,2.4,6,0,26587
274,Dell,Notebook,17.3,0,0,1920,2.7,8,0,109011
275,Asus,Gaming,17.3,0,0,1920,2.9,16,256,159787
276,Dell,Ultrabook,13.3,0,0,1920,1.8,8,256,77203
277,Google,Ultrabook,12.3,1,0,2400,1.2,8,128,67932
278,Lenovo,Gaming,15.6,0,0,1920,2.8,16,256,62817
279,Asus,Ultrabook,15.6,0,0,1920,2.7,16,512,78215
280,Dell,Notebook,15.6,0,0,1366,2.5,8,0,34045
281,Microsoft,Ultrabook,13.5,1,0,2256,2.2,4,128,52694
282,HP,Notebook,13.3,0,0,1920,1.6,4,0,35964
283,HP,Workstation,15.6,0,0,1920,2.8,8,256,92615
284,Dell,Ultrabook,13.3,1,0,1920,1.6,8,256,98134
285,Toshiba,Notebook,15.6,0,0,1920,2.5,16,512,74752
286,Apple,Ultrabook,13.3,0,1,2560,3.1,8,512,108691
287,Lenovo,Notebook,15.6,0,0,1920,2.7,8,0,35112
288,Acer,Notebook,15.6,0,0,1920,2.8,8,0,41505
289,Dell,Workstation,15.6,1,0,3840,2.8,8,256,144495
290,Microsoft,Ultrabook,33.5,1,0,2256,2.5,8,256,95851
291,Asus,Gaming,17.3,0,0,1920,2.9,32,512,207259
292,Dell,Notebook,15.6,0,0,1920,2,4,0,23923
293,Acer,Notebook,15.6,0,0,1366,1.5,2,16,10603
294,Asus,Notebook,15.6,0,0,3840,2.6,12,128,69211
295,Lenovo,Ultrabook,14,0,0,2560,2.7,16,1024,139860
296,Asus,Gaming,17.3,0,0,1920,2.8,16,256,74965
297,HP,Notebook,17.3,0,0,1600,2,8,256,34094
298,Dell,Notebook,14,0,0,1366,2.3,8,128,39427
299,Acer,Gaming,15.6,0,0,1920,2.5,8,256,45075
300,Acer,Ultrabook,14,0,0,1920,1.8,8,256,47100
301,Asus,Notebook,14,0,0,1366,2.4,4,128,27120
302,HP,Notebook,15.6,0,0,1920,2,4,0,18595
303,Lenovo,Notebook,15.6,0,0,1366,1.1,4,0,16304
304,Asus,Gaming,17.3,0,0,1920,2.8,8,0,63243
305,Dell,Notebook,15.6,0,0,1920,1.8,8,128,51730
306,Acer,Notebook,15.6,0,0,1920,2,4,0,28984
307,Lenovo,Notebook,15.6,0,0,1920,2.5,8,256,29251
308,Acer,Netbook,11.6,0,0,1366,1.6,4,128,23177
309,Asus,Gaming,17.3,0,0,1920,2.8,16,256,113060
310,HP,Notebook,17.3,0,0,1600,2,8,0,26054
311,Lenovo,Notebook,14,0,0,1920,2.5,8,180,72674
312,Lenovo,Notebook,15.6,0,0,1366,1.1,4,0,17156
313,Asus,Notebook,15.6,0,0,1920,2.5,8,0,39907
314,Asus,Gaming,17.3,0,0,1920,2.8,16,256,81465
315,Dell,Notebook,15.6,0,0,1920,1.8,8,256,60224
316,Lenovo,Notebook,15.6,0,0,1366,2,8,128,31382
317,Lenovo,Notebook,17.3,0,0,1600,2.5,6,0,34579
318,Dell,Gaming,15.6,0,0,1920,2.5,8,0,53227
319,Toshiba,Notebook,13.3,0,0,1920,2.5,8,256,89084
320,HP,Notebook,17.3,0,0,1920,2.5,4,0,23390
321,Dell,Notebook,15.6,1,0,1366,2.5,8,0,29697
322,Lenovo,Notebook,15.6,0,0,1366,2.5,8,0,29251
323,Acer,Notebook,15.6,0,0,1920,2.7,4,256,30476
324,Lenovo,Notebook,15.6,0,0,1920,2.5,8,128,43317
325,Dell,Notebook,14,0,0,1920,2.6,8,256,76031
326,Dell,Notebook,15.6,0,0,1920,1.8,8,512,67239
327,Dell,Ultrabook,13.3,1,0,3200,1.8,16,512,99580
328,HP,Notebook,15.6,0,0,1366,2.7,8,0,31861
329,Apple,Ultrabook,13.3,0,0,1440,1.6,8,0,53173
330,Dell,Notebook,15.6,0,0,1366,2.4,4,0,31254
331,HP,2 in 1 Convertible,13.3,1,0,3840,1.6,8,256,79867
332,Huawei,Ultrabook,13,0,0,2160,2.7,8,512,79867
333,Lenovo,Notebook,25.6,0,0,1920,1.6,8,256,60979
334,Acer,Notebook,15.6,0,0,1920,2.8,8,256,46833
335,Asus,2 in 1 Convertible,13.3,1,0,1920,2.5,8,256,49444
336,Lenovo,Notebook,14,0,0,1366,1.1,4,0,13267
337,HP,Notebook,13.3,0,0,1920,1.6,4,128,38681
338,Lenovo,Notebook,17.3,0,0,1600,2.7,6,128,50563
339,HP,Notebook,15.6,0,0,1366,2,4,0,23390
340,Asus,Gaming,15.6,0,0,1920,2.8,8,128,67399
341,Dell,Notebook,15.6,0,0,1920,1.8,16,256,55891
342,Lenovo,Notebook,13.3,0,0,1920,2.4,8,256,50563
343,HP,Notebook,14,0,0,1920,1.8,8,256,52641
344,Dell,Notebook,15.6,0,0,1920,1.6,8,128,44968
345,Dell,Ultrabook,13.3,0,0,1920,1.8,8,256,49651
346,Asus,Notebook,17.3,0,0,1920,2,4,0,30050
347,Dell,Notebook,15.6,0,0,1920,2.5,4,256,31909
348,Asus,Notebook,14,0,0,1920,2.5,8,256,50350
349,Dell,Ultrabook,13.3,0,0,1920,1.6,8,256,74539
350,HP,Notebook,15.6,0,0,1920,2.5,6,128,30311
351,Lenovo,Notebook,15.6,0,0,1366,1.1,4,0,13446
352,Asus,Notebook,15.6,0,0,1920,1.8,8,256,59567
353,Lenovo,Notebook,15.6,0,0,1920,2.5,8,256,48538
354,Acer,Notebook,15.6,0,0,1366,2.7,4,0,19554
355,Dell,Notebook,15.6,0,0,1366,2,4,0,32922
356,Acer,Notebook,15.6,1,0,1920,2.4,6,0,25521
357,Asus,Netbook,11.6,0,0,1366,1.1,4,0,18115
358,MSI,Gaming,15.6,0,0,1920,2.8,16,256,119427
359,Dell,Notebook,13.3,0,0,1366,2,4,128,36710
360,HP,2 in 1 Convertible,13.3,1,0,3840,1.8,16,1024,130483
361,Acer,2 in 1 Convertible,11.6,1,0,1920,2,4,0,18595
362,Lenovo,2 in 1 Convertible,13.9,1,0,3840,1.8,16,512,98515
363,HP,Notebook,15.6,0,0,1366,2.5,8,256,32980
364,Lenovo,Notebook,15.6,0,0,1920,2.5,8,256,33513
365,HP,Ultrabook,14,0,0,1920,2.5,8,256,79920
366,HP,Notebook,17.3,0,0,1920,1.8,16,512,67719
367,Lenovo,Notebook,13.3,0,0,1366,1.6,4,0,24503
368,Dell,Notebook,17.3,0,0,1920,1.6,8,128,52161
369,Lenovo,Notebook,15.6,0,0,1920,2.7,4,128,33566
370,Dell,Notebook,15.6,0,0,1366,2.5,8,0,28769
371,HP,Ultrabook,13.3,1,0,3200,1.2,16,512,104695
372,HP,Notebook,15.6,0,0,1366,2.5,4,0,26037
373,Lenovo,2 in 1 Convertible,13.9,1,0,1920,1.6,8,256,85195
374,Toshiba,Notebook,15.6,0,0,1366,2.5,8,128,42251
375,Lenovo,Ultrabook,14,0,0,1920,1.8,8,256,64755
376,Lenovo,Notebook,17.3,0,0,1920,2.8,8,256,159787
377,HP,Notebook,14,0,0,1920,2.5,8,256,52214
378,Dell,2 in 1 Convertible,15.6,1,0,1920,1.8,8,0,43636
379,Asus,Notebook,15.6,0,0,1920,2.5,8,128,44702
380,HP,Notebook,15.6,0,0,1920,1.6,8,256,46833
381,Lenovo,Notebook,14,0,0,1366,1.1,4,0,15931
382,Xiaomi,Notebook,15.6,0,0,1920,1.6,8,256,63883
383,Acer,Notebook,11.6,0,0,1366,1.6,4,0,25841
384,Asus,Notebook,15.6,0,0,1920,2,4,0,20726
385,Dell,Ultrabook,13.3,1,0,3840,1.6,8,128,85195
386,Lenovo,Netbook,11.6,0,0,1366,1.6,4,16,14119
387,Lenovo,2 in 1 Convertible,15.6,1,0,3840,2.8,16,512,101179
388,Dell,Notebook,17.3,1,0,1920,1.8,16,512,82531
389,HP,Notebook,14,0,0,1920,2.7,8,256,68838
390,Dell,Notebook,15.6,0,0,1366,2.6,4,0,51096
391,Dell,Notebook,15.6,1,0,3840,2.8,16,512,127712
392,Lenovo,Notebook,13.3,0,0,1920,2.5,8,256,50563
393,Lenovo,Notebook,17.3,0,0,1600,2.5,6,128,38308
394,Chuwi,Notebook,12.3,0,1,2736,1.1,6,0,23923
395,Lenovo,Notebook,17.3,0,0,1600,2.5,4,0,31382
396,Lenovo,Notebook,15.6,0,0,1920,1.1,4,0,18328
397,Lenovo,Notebook,14,0,0,1366,2.5,4,0,52747
398,HP,Notebook,15.6,0,0,1920,2.5,8,0,34046
399,HP,Workstation,17.3,0,0,1600,2.8,8,0,99154
400,Lenovo,Notebook,15.6,0,0,1366,2,8,256,26587
401,HP,Notebook,15.6,0,0,1920,2.9,8,256,76031
402,Asus,Gaming,17.3,0,0,1920,2.5,8,128,49977
403,HP,Notebook,14,0,0,1366,1.6,8,0,20726
404,Lenovo,Notebook,17.3,0,0,1600,2.5,8,0,31382
405,Asus,Notebook,35.6,0,0,1920,2.4,8,0,31808
406,HP,Notebook,15.6,0,0,1366,1.6,8,0,20726
407,Asus,Notebook,15.6,0,0,1920,2.7,8,256,65215
408,HP,Ultrabook,13.3,0,0,1920,2.7,8,256,74539
409,HP,Notebook,15.6,0,0,1920,3,6,256,34579
410,Lenovo,Notebook,15.6,0,0,1920,2.5,4,0,26587
411,Dell,Gaming,27.3,0,0,2560,2.9,16,256,149131
412,Asus,Notebook,15.6,0,0,1920,2.5,4,256,29784
413,HP,Notebook,14,0,0,1920,1.8,8,256,54932
414,Lenovo,Notebook,15.6,0,0,1920,2.5,8,256,44222
